%CPU %MEM     PID TT       STIME     TIME CMD
12.7  0.0 1042569 pts/0    09:13 00:00:01 /bin/ksh tmon manu tes
 2.0  0.0 1043997 pts/0    09:13 00:00:00 sh /u1/etc/tmon/script/chk_cpu
 0.0  0.0    1060 ?        Dec15 00:00:00 [xfs-eofblocks/d]
 0.0  0.0    1061 ?        Dec15 00:00:00 [xfs-log/dm-4]
 0.0  0.0    1062 ?        Dec15 00:00:25 [xfsaild/dm-4]
 0.0  0.0    1083 ?        Dec15 00:00:00 /usr/bin/rpcbind -w -f
 0.0  0.0    1086 ?        Dec15 00:00:00 /usr/sbin/rpc.idmapd
 0.0  0.0    1087 ?        Dec15 00:00:17 /sbin/auditd
 0.0  0.0    1089 ?        Dec15 00:00:00 /usr/sbin/nfsdcld
 0.0  0.0    1090 ?        Dec15 00:00:05 /usr/sbin/sedispatch
 0.0  0.0    1113 ?        Dec15 00:00:02 /u1/genero/gas/bin/fastcgidispatch -s -f /u1/genero/as-toptst.xcf
 0.0  0.0    1114 ?        Dec15 00:00:02 /u1/genero/gas/bin/fastcgidispatch -s -f /u1/genero/as-toppth.xcf
 0.0  0.0    1116 ?        Dec15 00:00:01 /usr/bin/lsmd -d
 0.0  0.0    1117 ?        Dec15 00:00:14 /usr/libexec/udisks2/udisksd
 0.0  0.0    1118 ?        Dec15 00:00:00 /usr/sbin/sssd -i --logger=files
 0.0  0.0    1119 ?        Dec15 00:00:06 /usr/sbin/ModemManager
 0.0  0.0    1122 ?        Dec15 00:00:12 /usr/sbin/irqbalance --foreground
 0.0  0.0    1123 ?        Dec15 00:00:04 /u1/genero/gas/bin/fastcgidispatch -s -f /u1/genero/as-topprd-ws.xcf
 0.0  0.0    1127 ?        Dec15 00:00:01 /u1/genero/gas/bin/fastcgidispatch -s -f /u1/genero/as-topstd.xcf
 0.0  0.0    1129 ?        Dec15 00:00:15 /usr/lib/systemd/systemd-machined
 0.0  0.0    1130 ?        Dec15 00:00:00 /usr/sbin/smartd -n -q never
 0.0  0.0    1131 ?        Dec15 00:00:01 /usr/libexec/rtkit-daemon
 0.0  0.0    1132 ?        Dec15 00:00:00 /usr/bin/VGAuthService -s
 0.0  0.0    1134 ?        Dec15 00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --foreground
 0.0  0.0    1135 ?        Dec15 00:00:45 /u1/genero/gas/bin/fastcgidispatch -s -f /u1/genero/as-topprd.xcf
 0.0  0.0    1140 ?        Dec15 00:00:03 /bin/bash /usr/sbin/ksmtuned
 0.0  0.0    1164 ?        Dec15 00:00:00 avahi-daemon: chroot helper
 0.0  0.0    1166 ?        Dec15 00:00:01 /usr/libexec/sssd/sssd_be --domain implicit_files --uid 0 --gid 0 --logger=files
